CustomerId,Profit,Recency,Frequency,Monetary,Variance,labels,Type
348,12,47,1,247.94,2,1,Inactive customer
349,50,6,1,506.82,2,3,New customer
350,1131,4,20,63703.52,49,0,Regular customer
351,616,6,15,39185.96,40,0,Regular customer
352,360,59,1,4949.55,2,1,Inactive customer
353,522,3,24,21243.0,18,0,Regular customer
354,38,35,6,433.64,5,1,Inactive customer
355,50,52,1,1025.16,2,1,Inactive customer
356,366,4,21,11088.62,11,3,New customer
357,163,4,11,3299.13,8,3,New customer
358,298,4,25,5378.96,12,0,Regular customer
359,110,4,6,3813.61,14,3,New customer
360,16392,4,35,664926.51,100,0,Regular customer
361,59,18,4,3726.16,12,3,New customer
362,425,18,9,26582.44,16,3,New customer
363,1022,5,16,39409.47,40,0,Regular customer
364,922,52,3,88554.77,28,1,Inactive customer
365,297,4,13,6474.4,10,3,New customer
366,99,18,6,2642.3,9,3,New customer
367,521,6,16,25645.91,26,0,Regular customer
368,576,1,3,40867.27,14,3,New customer
369,9,3,3,88.56,1,3,New customer
370,1137,4,24,97074.2,48,0,Regular customer
371,332,11,9,7422.11,17,3,New customer
372,54,3,2,2275.66,7,3,New customer
373,240,54,1,7439.4,1,1,Inactive customer
374,824,3,27,32708.8,46,0,Regular customer
375,1248,5,19,93521.74,54,0,Regular customer
376,120,42,6,2187.76,9,1,Inactive customer
377,444,3,21,11420.25,24,0,Regular customer
378,385,5,21,12742.92,23,0,Regular customer
379,532,5,15,36371.0,23,3,New customer
380,1504,1,7,165526.76,35,0,Regular customer
381,32,7,2,540.88,4,3,New customer
382,16,45,1,268.12,2,1,Inactive customer
383,1497,9,19,102748.32,45,0,Regular customer
384,25,32,1,283.1,2,1,Inactive customer
385,168,10,5,4111.39,11,3,New customer
386,1816,2,27,26988.78,33,0,Regular customer
387,318,77,1,2286.95,1,1,Inactive customer
388,695,11,14,22351.99,33,0,Regular customer
389,175,5,11,6153.52,15,3,New customer
390,601,3,22,20533.99,19,0,Regular customer
391,74,11,10,979.88,6,3,New customer
392,186,5,9,7121.49,7,3,New customer
393,501,7,26,15946.84,18,0,Regular customer
394,681,4,26,40525.02,24,0,Regular customer
395,314,47,7,13519.64,21,1,Inactive customer
396,4438,63,1,6166031.04,57,1,Inactive customer
397,10,7,1,395.76,2,3,New customer
398,165,4,9,3953.35,8,3,New customer
399,193,2,9,3757.31,11,3,New customer
400,45822,4,15,32539936.23,130,2,Profitable customer
401,61,35,2,3687.29,7,1,Inactive customer
402,30,47,1,256.24,2,1,Inactive customer
403,224,7,9,4270.27,8,3,New customer
404,873,3,24,9282.33,13,0,Regular customer
405,1566,1,4,169023.92,24,3,New customer
406,10,42,1,58.46,1,1,Inactive customer
407,103,6,6,3486.62,8,3,New customer
408,81,32,2,1254.59,3,1,Inactive customer
409,79,7,15,1550.04,5,3,New customer
410,18561,3,65,1118569.77,90,0,Regular customer
411,531,5,6,65949.45,21,3,New customer
412,126,7,8,2524.5,7,3,New customer
413,111,5,8,3603.23,9,3,New customer
414,453,3,9,25455.43,22,3,New customer
415,79,5,5,1445.92,7,3,New customer
416,9,54,1,59.25,1,1,Inactive customer
417,257,5,11,10279.22,8,3,New customer
418,426,3,17,11221.6,13,3,New customer
419,791,5,19,56997.26,36,0,Regular customer
420,902,18,11,65904.96,37,0,Regular customer
421,383,7,17,18309.41,20,3,New customer
422,57,10,13,564.5,4,3,New customer
423,12,40,1,283.56,2,1,Inactive customer
424,74,69,2,3956.3,12,1,Inactive customer
425,653,5,18,24928.34,31,0,Regular customer
426,453,4,8,18616.23,15,3,New customer
427,451,4,15,19719.87,17,3,New customer
428,193,35,3,3040.86,7,1,Inactive customer
429,1865,5,28,86601.45,59,0,Regular customer
430,462,5,18,20905.01,26,0,Regular customer
431,229,2,20,5995.59,10,3,New customer
432,24,87,1,463.84,2,1,Inactive customer
433,128,5,6,2105.55,7,3,New customer
434,241,6,19,5052.0,9,3,New customer
435,74,49,4,1122.54,5,1,Inactive customer
436,124,49,5,1810.72,6,1,Inactive customer
437,74,6,30,1506.78,6,0,Regular customer
438,177,6,5,1553.46,6,3,New customer
439,1910,40,2,2422.77,8,1,Inactive customer
440,14,48,4,126.07,3,1,Inactive customer
441,586,2,35,25558.24,31,0,Regular customer
442,38,5,10,349.74,3,3,New customer
443,2239,11,18,188719.18,50,0,Regular customer
444,8,41,1,75.48,1,1,Inactive customer
445,2698,6,8,18910.46,6,3,New customer
446,251,25,12,6396.41,12,3,New customer
447,234,3,18,6135.49,17,3,New customer
448,25,11,1,801.16,4,3,New customer
449,337,4,19,10834.76,20,0,Regular customer
450,323,13,12,8296.07,20,3,New customer
451,157,18,9,3905.25,12,3,New customer
452,90,7,9,2035.3,8,3,New customer
453,416,5,11,17686.6,27,3,New customer
454,448,66,2,40820.38,20,1,Inactive customer
455,474,5,13,23913.99,24,3,New customer
456,16,32,3,281.0,4,1,Inactive customer
457,286,4,14,2976.59,8,3,New customer
458,132,6,6,3168.52,17,3,New customer
459,50,14,2,356.75,2,3,New customer
460,26,13,3,489.99,3,3,New customer
461,266,5,6,21568.99,8,3,New customer
462,2880,3,9,11446.08,1,3,New customer
463,505,25,5,8007.42,5,3,New customer
464,15,42,2,689.94,5,1,Inactive customer
465,226,5,8,4968.72,15,3,New customer
466,194,4,15,4965.93,18,3,New customer
